//
// Dumped for AI Girl v1.2.3 by Text Dump v1.4.4
//
なし=None
ストッキング=Stockings
ストッキングTカバー=Stockings T
ストッキングHカバー=Stockings H
レースストッキング=Lace Stockings
網タイツ細目=Fine Fishnet
網タイツ中目=Medium Fishnet
網タイツ大目=Large Fishnet
穴あきストッキング=Open Stockings
スパッツA=Spats A
スパッツB=Spats B
ショートスパッツ=Short Spats
シンプルガーター=Simple Garters
レースガーター=Lace Garter
ベルトガーター=Belt garter
バニー網タイツ=Bunny Fishnet
バニーストッキング=Bunny Stockings
ダンサーストッキング=Dancer Stockings
コンシェルジュガーターF=Concierge Garter
エルフのガーター=Elf Garter
サポーター膝=Knee Pads
逆バニーボトム=Reverse Bunny Bottom
クロスレッグガーター=Sister Cross Garter
ボンデージガーター=Bondage Garter
ウェディングガーター=Wedding Garter
